player,player_id,season,age,games_played,touches_per_game,yards_per_touch,injury_history,position,injury,injury_risk_score
William Jones,Player053,2021,22,11,19.03433022731015,4.214661326755417,0,RB,0,0.21017033944384803
Richard Johnson,Player054,2021,29,4,14.938444248889244,5.37856340395843,0,RB,1,0.0951172057627655
Christopher Jones,Player055,2021,22,14,6.16221511347708,3.952323490294419,1,RB,0,0.2762816880188567
Joseph Jones,Player056,2021,22,8,7.987638360893423,4.650927901389283,0,RB,0,0.15293863056091084
Robert Johnson,Player057,2021,23,15,15.691686137512779,4.221528230001601,0,RB,0,0.051862276554976036
Michael Hernandez,Player058,2021,23,10,17.400462610615484,5.739642299706189,0,RB,0,-0.014481056421921726
Thomas Miller,Player059,2021,31,18,12.763867267659831,5.315246247292759,0,RB,0,0.08879549859094069
Joseph Hernandez,Player000,2022,27,18,14.239781229982485,4.849158069900582,0,RB,0,-0.015763610641720105
John Garcia,Player001,2022,22,18,19.141802046606283,4.670761192104405,1,RB,1,0.4168801632396355
William Johnson,Player002,2022,24,3,24.436853980815,3.8446281959309045,0,RB,0,0.19858073899666379
James Rodriguez,Player003,2022,25,9,17.443396179526562,4.803335012881197,1,RB,0,0.36196454224998803
Michael Miller,Player004,2022,29,14,11.278204732534597,5.262085687443038,0,RB,1,-0.08622781979391969
Christopher Miller,Player005,2022,24,17,10.365038369244843,5.512843598262849,1,RB,0,0.311506652466562
Richard Davis,Player006,2022,31,12,12.10620216572169,4.799023554674101,1,RB,1,0.4792838652243872
Joseph Rodriguez,Player007,2022,26,7,6.661307263409789,3.951869461821049,0,RB,0,0.09629977998541189
Michael Johnson,Player008,2022,28,18,24.56954002844603,3.763286465177565,0,RB,1,0.15858216879030465
Joseph Brown,Player009,2022,23,18,13.34652197405479,3.6809009944463242,0,RB,0,0.05916140769273469
John Rodriguez,Player010,2022,30,11,16.61933972357076,5.005693399119021,0,RB,0,0.1161176205567082
James Martinez,Player011,2022,24,16,23.771972157292552,3.9774720205121543,0,RB,1,-1.382472255788414e-05
Robert Miller,Player012,2022,23,8,17.500834131660074,4.385962161574513,0,RB,1,0.23270555810087828
William Johnson,Player013,2022,24,5,16.338292411719475,4.351198983404031,0,RB,1,0.1335960849938741
William Jones,Player014,2022,24,17,21.25751014328429,3.4247208536599816,0,RB,1,0.21627259764030965
Michael Davis,Player015,2022,21,13,13.973301831441034,3.794260148165931,0,RB,0,0.3194405983624076
Robert Miller,Player016,2022,26,14,25.594815212533902,3.802184070328131,0,RB,0,-0.021678473337691656
David Jones,Player017,2022,27,10,7.887870611183582,4.238293256637978,0,RB,1,-0.07716488696764587
David Johnson,Player018,2022,26,13,18.36554759731018,4.873445812701745,0,RB,1,0.10218331475436647
John Garcia,Player019,2022,24,10,8.245098183359735,4.113268480735198,0,RB,1,0.07662178727176233
Richard Davis,Player020,2022,31,11,5.992198805041564,5.292578386472523,0,RB,1,0.08919620527882137
John Hernandez,Player021,2022,21,9,9.221291165682485,4.217945923731863,0,RB,0,0.09122988046510823
David Rodriguez,Player022,2022,24,18,9.013560312991066,3.830989280115402,0,RB,1,0.24207593410810868
David Garcia,Player023,2022,26,5,21.686800220950268,4.633588655966362,0,RB,1,0.16378295954867478
Christopher Martinez,Player024,2022,28,10,10.650353922488502,4.260666653273503,0,RB,0,0.09247596059043958
David Davis,Player025,2022,25,16,7.49446073407931,3.8821238022833957,0,RB,1,0.049657811565685904
David Rodriguez,Player026,2022,30,3,14.881910019521825,4.493923185572665,0,RB,0,0.11566984074721287
James Davis,Player027,2022,28,18,24.128504283208763,4.131402785619382,1,RB,1,0.49891181292843806
John Brown,Player028,2022,30,9,13.083463340823812,4.938678816094756,0,RB,1,-0.01532112976657718
James Davis,Player029,2022,27,10,11.334597491931651,3.9930773898924685,0,RB,1,0.08365440340166712
William Martinez,Player030,2022,30,16,15.105393888265239,3.914214353667202,1,RB,0,0.30587856667140645
James Miller,Player031,2022,24,12,18.44970926327235,6.2681161284545635,0,RB,0,-0.002611756128953202
James Williams,Player032,2022,24,12,18.104391340298946,5.539764594391892,0,RB,0,0.2619942435255148
William Jones,Player033,2022,27,8,23.58252020188076,3.668512331507831,0,RB,0,0.2940057605559223
Thomas Garcia,Player034,2022,25,16,22.18234574078611,5.918396370248921,0,RB,0,0.30140798833090254
Robert Jones,Player035,2022,25,7,12.19397419398346,4.285730601274665,0,RB,1,-0.06474125652367341
Christopher Miller,Player036,2022,28,8,4.341172036306817,4.147980492515108,0,RB,0,0.18296867693771435
John Martinez,Player037,2022,29,10,13.13155889474535,6.01422857599902,1,RB,0,0.4715692750042456
Thomas Martinez,Player038,2022,28,18,7.534637011166023,4.6814935976123015,0,RB,1,0.05853684880364157
David Miller,Player039,2022,25,14,16.515071924371153,5.74639419144968,0,RB,1,0.07277739929452963
Thomas Rodriguez,Player040,2022,23,13,15.781255356386758,4.294483094682751,1,RB,1,0.4255962099131866
Thomas Brown,Player041,2022,24,8,11.481145223915728,4.366805920089739,0,RB,0,-0.004564537562254611
John Brown,Player042,2022,28,17,16.058058390808995,4.831883075997491,1,RB,0,0.43789469512326884
Christopher Miller,Player043,2022,26,7,19.61147231467621,5.688273207304739,1,RB,1,0.347058111449177
Thomas Davis,Player044,2022,28,6,27.042578840115866,4.115411971379877,0,RB,0,0.2722627056364434
Richard Rodriguez,Player045,2022,27,17,12.193154556298836,6.097322716546858,0,RB,0,0.08963036396325179
James Garcia,Player046,2022,22,7,19.119682551473815,4.688592396844504,0,RB,0,0.10553978751679227
William Martinez,Player047,2022,29,13,5.989912623642749,3.895422146766215,0,RB,1,-0.13555654799358524
Thomas Rodriguez,Player048,2022,25,10,20.091279397256905,4.396566569207933,0,RB,0,-0.0556246130930317
Michael Miller,Player049,2022,24,16,21.80405944697726,4.601895843453196,0,RB,1,0.12494670606047076
Christopher Brown,Player050,2022,24,9,9.217933070476615,5.512060600809788,0,RB,0,0.11573030618188584
Thomas Williams,Player051,2022,22,13,17.620527763025258,3.3968122850031714,0,RB,1,0.16973388365970885
Christopher Johnson,Player052,2022,29,7,13.602576945953825,5.815997777236989,0,RB,0,0.19273773182604037
James Hernandez,Player053,2022,21,13,18.189072673616778,5.535304766356085,0,RB,1,0.33193688833448487
Michael Miller,Player054,2022,27,13,16.87282432753081,4.371910491575468,1,RB,0,0.48052369781700066
John Brown,Player055,2022,31,14,18.531948244073956,4.870232640718696,0,RB,1,0.2473878725355001
William Johnson,Player056,2022,30,6,19.708815282566135,4.154673646692933,0,RB,0,0.11440700322711743
Richard Garcia,Player057,2022,27,11,5.451487198567952,4.947617205169543,1,RB,0,0.4061651358394908
Michael Johnson,Player058,2022,21,17,19.743405540078054,3.2561315786963805,0,RB,0,-0.09074301073616758
Christopher Jones,Player059,2022,24,9,17.47064627736782,4.158591240964796,0,RB,0,0.02779520576599711
David Williams,Player000,2023,23,17,22.769838970972433,4.4239380551887795,1,RB,1,0.32700537983706474
Robert Hernandez,Player001,2023,25,8,10.606539015543026,4.277328825207363,0,RB,0,0.10797486790947929
Thomas Martinez,Player002,2023,24,15,19.529247073534457,6.0363613513607906,0,RB,0,0.04491349191859269
Thomas Hernandez,Player003,2023,24,10,18.574538935969613,4.21687534034991,0,RB,1,0.16325869689447225
James Rodriguez,Player004,2023,30,7,5.245510691824447,5.182956647912527,0,RB,0,0.12979198443229226
Christopher Hernandez,Player005,2023,23,15,4.969287154801373,4.968741115233517,0,RB,1,0.08021317608722818
Michael Hernandez,Player006,2023,24,9,20.460006662161145,4.278533567744681,1,RB,0,0.32464771490084277
David Martinez,Player007,2023,27,10,21.095310275313565,5.3911489697177375,0,RB,0,0.05248254341075776
John Johnson,Player008,2023,25,4,15.954466062470978,5.250171982397494,1,RB,0,0.3327333237312239
Joseph Miller,Player009,2023,25,10,8.905186815482953,4.244363109956349,1,RB,0,0.2943765161243871
William Garcia,Player010,2023,26,18,6.122563729986996,3.7317742227549395,0,RB,1,0.07318751438459929
Christopher Williams,Player011,2023,25,10,4.720186546907231,3.172632476190338,0,RB,0,0.09837317654876962
Robert Garcia,Player012,2023,26,5,15.140455775894138,3.457520690103315,0,RB,1,0.019720280274371275
Robert Hernandez,Player013,2023,29,18,24.329786671217995,4.468804346327947,0,RB,0,0.04646424883275602
Michael Davis,Player014,2023,24,14,20.151996705839554,2.63519983858681,0,RB,0,0.1130884480986358
John Johnson,Player015,2023,25,18,13.100768393067469,3.9389109369681448,1,RB,0,0.4700093261559136
Thomas Johnson,Player016,2023,24,18,14.735231135030924,4.911153755720155,0,RB,0,0.20585305147437083
William Brown,Player017,2023,30,13,16.785300649889166,4.244305478589281,0,RB,1,0.13767141557761559
James Hernandez,Player018,2023,28,8,5.541003103099474,4.405375671645633,0,RB,1,0.24452023905841166
David Garcia,Player019,2023,23,14,8.061156976160074,4.600450634993806,0,RB,0,0.13362817396575835
Joseph Brown,Player020,2023,23,18,13.641041383648883,4.134797132125864,0,RB,0,0.010996281399512323
John Jones,Player021,2023,26,8,12.326771596203622,3.472909884776409,1,RB,0,0.3795740799380607
Michael Martinez,Player022,2023,30,6,18.282863135840373,5.419364821549351,0,RB,1,0.09523858118293091
John Miller,Player023,2023,25,12,21.84474455285527,4.377336841904439,1,RB,0,0.4859565939566647
James Jones,Player024,2023,25,17,8.995924068747637,3.859927581910452,0,RB,0,0.041989755662819726
Robert Williams,Player025,2023,28,16,14.302815177442028,3.958319102681768,1,RB,1,0.3094565228073928
James Rodriguez,Player026,2023,26,12,12.126358945633138,3.6725028677111315,0,RB,0,0.03946927675375041
Michael Williams,Player027,2023,24,18,5.268368422557151,3.890356469944308,0,RB,1,0.10938762546847178
James Jones,Player028,2023,30,16,8.714618224520642,5.49519156878837,0,RB,0,0.3958776310352996
Joseph Rodriguez,Player029,2023,31,14,7.206238744461846,4.385015329154588,0,RB,1,0.3104292776807088
David Williams,Player030,2023,29,13,11.79228017223883,5.665063056324063,0,RB,1,0.00885347950041164
John Williams,Player031,2023,23,8,12.489379204327484,4.036269316551996,1,RB,1,0.4489716352534367
David Johnson,Player032,2023,25,17,9.494537033378549,4.656756548796283,0,RB,1,-0.031856245520042244
Christopher Miller,Player033,2023,29,11,17.27332867798593,4.800752882237133,0,RB,0,0.279815189550907
Thomas Rodriguez,Player034,2023,25,14,22.766856902693156,4.540442684355798,0,RB,0,0.1857400888459626
Richard Miller,Player035,2023,22,18,14.067001710283929,4.543685230609887,0,RB,0,0.049013850907540575
John Jones,Player036,2023,31,14,17.696776359754562,3.9691146986559196,0,RB,0,0.14955800107264372
Michael Martinez,Player037,2023,25,11,21.15985857566401,5.998153779836081,0,RB,0,0.21091449436906035
Robert Jones,Player038,2023,28,11,9.917536685024668,2.97089938156856,1,RB,1,0.36027630369084696
Robert Martinez,Player039,2023,23,12,18.001684703058025,3.829011707034392,1,RB,1,0.36775409817774896
Michael Martinez,Player040,2023,28,9,9.69845088984871,4.133687831163855,0,RB,0,0.16951827086949123
Robert Garcia,Player041,2023,28,18,19.41116934394711,3.999393816997909,0,RB,0,0.08741099334441367
Michael Jones,Player042,2023,26,15,20.939414148219733,3.5844378968730224,0,RB,0,0.05933942321500315
Robert Johnson,Player043,2023,28,6,9.044745981845212,4.973349644400661,0,RB,0,-0.02513580471303392
Joseph Johnson,Player044,2023,24,16,16.128501256290978,5.778061705712599,1,RB,1,0.4567789855910628
Richard Williams,Player045,2023,23,11,20.69322983208037,5.7708024784033025,0,RB,0,0.26485919401371844
William Rodriguez,Player046,2023,23,16,15.417929059862754,5.515550550005688,1,RB,0,0.3584038943896789
Thomas Hernandez,Player047,2023,26,14,7.008631379426292,5.210993797768552,0,RB,0,0.09995619918740269
Christopher Jones,Player048,2023,24,13,14.018690631095998,5.847717632691212,0,RB,0,0.0754312442214128
Robert Williams,Player049,2023,22,3,10.498130978382713,5.883664269079083,0,RB,1,0.12255046174944367
Robert Hernandez,Player050,2023,25,15,18.85556446866279,5.0598117621419085,1,RB,1,0.45409068160348
Christopher Davis,Player051,2023,23,14,3.1714496051382812,4.277442867906798,1,RB,1,0.47192781276910223
Richard Brown,Player052,2023,22,4,19.07668313377934,4.6599949616577225,0,RB,0,0.09939082904344444
Robert Hernandez,Player053,2023,21,18,20.50210506647561,4.126648647884239,0,RB,0,0.2120083095090719
William Johnson,Player054,2023,34,4,18.965043905076715,3.184327349547838,0,RB,0,0.4537347944431274
Richard Garcia,Player055,2023,22,8,18.816225654928104,4.145202061520798,1,RB,1,0.5928878080703861
Joseph Williams,Player056,2023,27,2,7.860238685617742,5.073417839521671,0,RB,0,0.07336399625236223
Michael Hernandez,Player057,2023,24,15,8.11415960256408,5.0622282612613265,0,RB,0,0.07790618329629664
Michael Garcia,Player058,2023,23,18,13.726428152444935,4.202406974124304,1,RB,1,0.536051975290139
David Jones,Player059,2023,26,17,13.386096294971589,2.9130037602173005,0,RB,0,0.20974451774761765
Richard Rodriguez,Player000,2024,24,18,13.59558328274882,6.210557041094205,1,RB,0,0.1950170169350098
John Miller,Player001,2024,23,5,15.009761979606138,4.468494741806995,0,RB,0,0.08606360342259625
John Martinez,Player002,2024,27,9,23.074859940139035,4.836091169359454,0,RB,0,0.047322948200647835
William Rodriguez,Player003,2024,30,16,20.723357036693326,4.182635756195093,0,RB,1,0.2547926202211165
David Williams,Player004,2024,24,18,16.332893280512952,4.680117051909714,0,RB,1,0.08628301942329288
Richard Rodriguez,Player005,2024,23,15,20.4330543466899,4.407659099546274,0,RB,1,0.11478151731279186
Christopher Garcia,Player006,2024,27,13,19.230728709212432,3.0415262836629218,0,RB,0,0.24339873073008828
Joseph Williams,Player007,2024,27,10,7.123383544001412,5.0454597575069835,1,RB,0,0.26699330949548616
William Johnson,Player008,2024,21,13,19.20009054343161,4.062052552585665,1,RB,0,0.2961153577885812
William Martinez,Player009,2024,23,13,12.429187965396558,3.519968181809715,0,RB,1,-0.11206356989461498
Robert Jones,Player010,2024,29,12,16.97409414289643,4.540785155748304,0,RB,0,0.09679925421644933
Robert Garcia,Player011,2024,30,15,15.137022682379053,4.376665852696139,0,RB,0,0.003915167340860781
Joseph Johnson,Player012,2024,31,6,20.947542798538613,4.977516022038728,0,RB,0,0.0372133248302772
Thomas Hernandez,Player013,2024,22,11,20.31981996831005,3.7995158523202406,0,RB,1,0.1276003094281016
Christopher Miller,Player014,2024,27,17,16.528421804339036,3.636347976079002,1,RB,1,0.4542291651234999
Richard Garcia,Player015,2024,24,10,6.566962165607564,4.650922733350217,0,RB,0,0.16558411706633192
Richard Garcia,Player016,2024,25,18,26.180656025557525,5.975533996220703,0,RB,1,0.009490841133850694
Michael Jones,Player017,2024,33,7,18.331329389406744,3.71100495282775,1,RB,0,0.5718601932000769
William Johnson,Player018,2024,23,12,8.63233628822779,3.6246761016991997,0,RB,0,0.1603001170471188
William Jones,Player019,2024,29,12,15.308794245324254,3.8319864518415203,1,RB,1,0.42764983462753386
Michael Brown,Player020,2024,28,9,12.348244752826018,3.2246316457162663,1,RB,0,0.4507108594689784
Joseph Miller,Player021,2024,22,7,8.587561202900446,4.165998957409226,0,RB,0,0.07699044987553899
Joseph Garcia,Player022,2024,25,6,23.123606249980703,4.691939499909932,0,RB,0,0.11571567552959228
Christopher Martinez,Player023,2024,29,9,18.892649733726262,6.526097410027237,0,RB,0,0.03558261841929103
William Hernandez,Player024,2024,25,14,5.70490692488712,5.6499166243561305,0,RB,0,-0.18540192000280553
Thomas Davis,Player025,2024,27,18,5.441498191034837,5.713655989742525,1,RB,0,0.4731309234875585
Richard Williams,Player026,2024,24,18,20.242328426782425,3.9520895153612265,1,RB,0,0.48607604935515336
James Jones,Player027,2024,25,4,16.415794463516608,4.036941174815646,1,RB,1,0.40326921500734675
James Jones,Player028,2024,26,12,7.249193462598717,5.094302934133966,1,RB,0,0.05848835259965607
James Brown,Player029,2024,24,16,22.283055847019266,5.222116305213506,0,RB,1,0.16839842631770885
William Garcia,Player030,2024,29,7,18.906722794371053,5.319650507393273,0,RB,0,0.1990778773403727
Michael Davis,Player031,2024,26,18,18.990373511753713,6.077817344821152,1,RB,0,0.24153283103014417
Michael Rodriguez,Player032,2024,25,13,12.091837163111066,3.88303911807822,0,RB,0,0.17362683246068017
Joseph Garcia,Player033,2024,27,18,21.74137985354278,5.20473289897273,0,RB,1,-0.1494893431842089
Christopher Martinez,Player034,2024,28,18,23.41723707513568,2.9950178480145198,0,RB,0,0.1251246930482352
William Williams,Player035,2024,21,9,16.910845360356333,6.1822507930028765,1,RB,0,0.3292824777281721
Joseph Rodriguez,Player036,2024,25,16,20.752450017051306,5.017779083657917,0,RB,0,0.1255801763810536
Joseph Davis,Player037,2024,28,7,8.537118934916204,4.855558063001458,0,RB,1,0.004278955857675612
David Rodriguez,Player038,2024,23,9,7.556331940219311,5.467805135650874,1,RB,1,0.22627775934288577
Joseph Martinez,Player039,2024,27,18,20.10827337245553,3.860093761696799,1,RB,1,0.38335111841733505
James Williams,Player040,2024,21,18,19.749021994656502,4.302589951041634,1,RB,1,0.26555910493606494
Christopher Rodriguez,Player041,2024,28,18,8.670445414288325,4.255431301657781,0,RB,0,0.15641464146506515
Joseph Hernandez,Player042,2024,33,18,4.413178681432933,3.4904971460294916,1,RB,1,0.4939762102069787
Christopher Johnson,Player043,2024,26,9,6.631791316865362,4.615332486285694,1,RB,0,0.5017800779342317
Richard Hernandez,Player044,2024,26,8,10.202718378422677,5.326946276632968,0,RB,1,0.130443223446944
Joseph Johnson,Player045,2024,23,12,12.481983944105812,5.269827710369155,0,RB,0,0.11890246820890249
David Rodriguez,Player046,2024,24,13,23.75179641399914,4.612169622678925,1,RB,0,0.17234483303357867
Joseph Garcia,Player047,2024,22,12,15.22066389454679,2.945622334972214,0,RB,0,-0.13934868568296221
William Jones,Player048,2024,28,18,8.820581097276678,4.186923152542026,1,RB,0,0.2650166998038261
Thomas Davis,Player049,2024,25,5,31.309018715287927,5.653592041180123,0,RB,0,0.0782560681768369
Thomas Johnson,Player050,2024,24,13,7.065190671985371,4.4864863310264855,0,RB,0,0.10902102331250783
William Jones,Player051,2024,30,18,3.066257819364677,5.387281479990401,0,RB,1,0.05780271894353072
William Williams,Player052,2024,27,8,16.094751084643143,3.9653941396784864,0,RB,0,0.09384786291154092
Richard Davis,Player053,2024,24,13,17.268289486660272,5.020757346442191,0,RB,1,0.005088326180583441
John Martinez,Player054,2024,24,7,19.41131177150403,4.593780957991553,0,RB,0,0.035448281930198694
Joseph Johnson,Player055,2024,28,5,25.28661701297815,5.302756071673983,0,RB,1,0.25856603461509947
Thomas Martinez,Player056,2024,24,9,6.646862512702349,4.904940423865144,0,RB,0,0.016359292215532485
Thomas Martinez,Player057,2024,25,16,10.275432576737126,4.818062053759311,1,RB,0,0.37057868174001857
Christopher Hernandez,Player058,2024,24,10,5.8395418305995275,4.917466309366293,0,RB,0,0.16139430822742695
Thomas Garcia,Player059,2024,28,18,11.614475198033974,4.421516859365845,0,RB,0,0.06999839142564829
